a | zu, an, bei
detestar | verabscheuen
destestation | Abscheu
detonar | explodieren, detonieren, knallen
detonation | Explosion, Detonation, Knall
detonator | Zünder (Bombe)
detorn | Krümmung, Biegung, Umweg, Abkehr
detornar | krümmen, biegen
detra | hinter
in detra | hinten
detra-scaliere | Hintertreppe
detracter | herabsetzen, beeinträchtigen
detractor | Lästerer, Kritiker
detriment | Nachteil, Schaden
detrimentar | schaden
devaluar | entwerten
devaluation | Entwertung
devastar | verheeren, verwüsten
devastation | Verwüstung, Verheerung
developar | entwickeln
devenir | werden
deve | Pflicht, Verpflichtung, Schuldigkeit
deventie | Treuepflicht
dever | müssen, sollen
deversuore | Wasserablass, Wehr
deviar | abweichen
deviation | Abweichung
devoer | widmen, weihen, aufopfern
devoer se | sich hingeben, sich widmen
devoluer | auswickeln, auspacken
devorar | verschlingen
devotion | Hingabe
dexteri | geschickt, gewandt, fingerfertig
dexteritá | Geschick, Fingerfertigkeit
dextri | rechts
a dexstre | nach rechts
diabete | Zuckerkrankheit, Diabetes
diábol | Teufel
diaboleríe | Teufelei
diabolic | teuflisch
diacritic | diakritisch
diafan | durchsichtig, durchscheinend
dial | täglich
dialog | Dialog
diamant | Diamant
diapason | Tonleiter
diaré | Durchfall
diari | täglich
diarium | Tagebuch
diatribe | Schmähschrift
dictar | diktieren, vorschreiben
dictat | Diktat
dictator | Diktator
dictarori | diktatorisch
dictatura | Diktatur
diction | Vortrag, Sprache, Schreibweise
die | Tag
die ordinari | Wochentag
diete | Diät
difamar | diffamieren, in schlechten Ruf bringen
difamation | Diffamierung
difamatori | diffamierend
diferent | verschieden
diferentiar | differenzieren
diferentie | Unterschied, Differenz
diferer | sich unterscheiden
diform | hässlich, unförmig
difracter | das Licht brechen, beugen
diftong | Doppellaut, Diphtong
difuser | verbreiten, propagieren
difusion | Verbreitung, Propagandierung
diga | Damm
digester | verdauen
digestion | Verdauung
digestiv | verdaulich
digital | digital
dignar | sich herablassen
digni | würdig
dignitá | Würde
dignitario | Würdenträger
digresser | abschweifen
digression | Umschweif
dilacerar | auseinanderreißen, zerreißen
dilatar | ausdehnen
dilatation | Ausdehnen, Ausdehnung
dilettante | Dilettant
diligence | Postkutsche
diligent | fleißig, emsig
diligentie | Fleiß
diluer | verdünnen (mit Wasser)
dilution | Verdünnung (mit Wasser)
diluvie | Sintflut
diminuer | verringern, abnehmen
diminution | Abnahme, Verminderung
dinamic | dynamisch
dinamica | Dynamik
dinamite | Dynamit
dinamo | Dynamo
dinastic | dynastisch
dinastie | Dynastie
diné | Mittagessen
dinear | Mittag essen
diocese | Sprengel, Diozöse
diploma | Diplom
dir | sagen
direct | direkt
directer | leiten
direction | Richtung
director | Direktor, Leiter
discade | Zerfall, Verfall
discader | zerfallen, verfallen
discerner | auseinanderhalten, sondern, erkennen
disciple | Schüler, Anhänger, Jünger
disco | Scheibe
disconto | Abzug (Skonto)
discordie | Zwietracht
discordantie | Zwietracht
discoteca | Diskothek
discrepant | abweichend, widersprüchlich
discrepar | verschieden sein, widersprechen
discrepantie | Diskrepanz
discurrer | abhandeln, einen Vortrag halten
discurse | Rede, Vortrag
discusser | diskutieren
discussion | Diskussion
disgraciar | seine Gunst/Gnade entziehen
disgracie | Ungnade
disparat | nicht zusammenpassend, verschiedenartig, disparat
dispensar | entheben, entbinden (jmd. von etwas)
disperser | ausstreuen, zerstreuen, verteilen
dispersion | Zerstreuung, Verteilung
disponer | anordnen, zur Verfügung stellen
disponibil | verfügbar
disponibalitá | Verfügbarkeit
disposir | verfügen, anordnen
disposition | Verfügung, Anlage (Fähigkeit)
disputar | streiten
disputator | Streitführer
dispute | Streit
dissecter | zergliedern, aufmerksam prüfen, sezieren
dissection | Zergliederung, Sezierung
dissension | Zwist, Dissens
dissertar | eine gelehrte Abhandlung schreiben
dissertation | Doktorarbeit, Dissertation, Abhandlung
dissidente | Dissident
dissidentie | Abweichung (in Religion, Politik usw.)
dissider | spalten, anders denken (in Ideologie usw.)
dissimular | verbergen, verheimlichen, verstellen
dissimulation | Heuchelei, Verstellung
dissipar | verschwenden, verschleudern, zerteilen, auflösen
dissipation | Verschwendung, Vergeudung
dissoluer | auflösen
dissolution | Auflösung
dissonar | in Missklang stehen
dissonantie | Missklang
dissuader | jemanden abraten, jemanden etwas ausreden
distant | entfernt
distantie | Abstand, Entfernung
distar | entfernt sein
distender | blähen, dehnen
distillar | destillieren, brennen (Alkohol)
distillería | Destillerie, Schnapsbrennerei
distint | unterschieden, deutlich, bestimmt
distinter | unterscheiden, sich abheben
distintet | vornehm
distintion | Unterscheidung
distracter | zerstreuen, absondern
distraction | Zerstreuung, Unterhaltung, Ablenkung
distribuer | verteilen
distribution | Verteilung
distributiv | verteilend
distributor | Verteiler
districte | Bezirk
disturbar | stören
disturbation | Störung
disvoluer | sich entfalten
dito | dito
divagar | umherirren, irre reden
divergent | abweichend, divergent
divergentie | Abweichung, Divergenz
diverger | auseinander laufen, voneinander abweichen
diversi | verschieden
diversificar | diversifizieren
divertisser | belustigen, vergnügen
divertissement | Vergnügen
bon divertissement | viel Spaß
divertisser | vergnügen, belustigen
dividende | Dividende
divider | teilen
dividet per | geteilt durch
divin | göttlich
divinar | raten, erraten
divinitá | Göttlichkeit
divisibil | teilbar
division | Teilung, Division
divorciar | scheiden
divorciat | geschieden
divorcie | Scheidung
divulgar | vertreiben, senden, unter die Leute bringen
divulgation | Aussendung, Vertrieb
do | deshalb, darum, also
doane | Zoll
doanero | Zöllner
dock | Dock
docente | Dozent
docer | lehren
docil | gelehrig, empfänglich, folgsam
docilitá | Gelehrsamkeit
doct | weise
doctrinari | doktrinär, einer Lehre folgend
doctrine | Doktrin, Lehre
document | Ausweis, Dokument
documentari | dokumentarisch
documentes | Unterlagen
doga | Daube
dogma | Dogma
dogmatic | dogmatisch
doler | schmerzen
dóllar | Dollar
dólomit | Dolomit
dolorar | schmerzen
dolore | Schmerz
dolorosi | schmerzhaft
dom | Haus
dom de comercie | Kaufhaus
dom de un etage | Bungalow
domene | Domäne (auch Internet!), Besitztum
domestic | häuslich, zahm
domestica | Hausdienerin
domestico | Hausdiener
domicilie | Wohnsitz, Wohnort
dómina | Hausfrau, Herrin
dominant | dominant, vorherrschend
dominia | Herrschaftsgebiet
dómino | Herr, Hausherr, Gebieter
domitar | zähmen
domitation | Zähmung
don | Geschenk, Gabe
donar | schenken
donation | Geschenk
donator | Schenker, Spender, Geber
dorlotar | verwöhnen, verhätscheln
dorlotation | Verhätschelung
dorloton | Muttersöhnchen, Milchgesicht
dormaci | schläfrig
dorme | Schlaf
dormient | schläfrig
dormir | schlafen
dormitive | Schlafmittel
dormitoria | Schlafzimmer
dorse | Rücken
dosa | Dosis
dossiere | Datei
dot | Mitgift
dotar | mit einer Mitgift versehen
dozene | Dutzend
drachar | dreschen
dracon | Drache (Sagentier)
dracon volant | Drache (Spielzeug)
dragé | Zuckerwerk, Bonbon
draggar | baggern, aus baggern
draggator | Bagger
dragon | Dragoner (Soldat)
drama | Drama
dramatic | dramatisch
dramaticar | dramatisieren
dramaturg | Dramaturg
dramaturgie | Dramaturgie
drap | Tuch, Stoff
drapar | verhüllen, drapieren
drastic | drastisch
dren-tub | Abflussrohr
drenage | Entwässerung, Trockenlegung
drenar | trockenlegen (durch Abzugsröhren)
dresser | abrichten (Tiere), dressieren
dressura | Dressur
dribblar | dribbeln (Fußball)
drillar | bohren, Drill bohren
drivar | treiben, abdriften
drogue | Droge
drolli | drollig, lustig, skurril
drolleríe | Posse
dromedare | Dromedar
dronar | ertrinken
drone | Drohne
druide | Druide
du | zwei, 2
du vezes | zweimal
dual | dual, doppelt
dualisme | Dualismus
duant | zwanzig, 20
duantdu | zweiundzwanzig, 22
duantesim | zwanzigster
duantun | einundzwanzig, 21
dubitabil | zweifelhaft
dúbitar | zweifeln
dúbite | Zweifel
dúbitosi | zweifelhaft, voller Zweifel
duc | Herzog
ducal | herzoglich
ducate | Dukate
ducatu | Herzogtum
ducent | zweihundert, 200
ducessa | Herzogin
duchar | duschen
duche | Dusche
duchuore | Dusche
ducter | führen
ductil | dehnbar, streckbar, geschmeidig
ductilitá | Dehnbarkeit
duction | Führung
ductiv | führend
ductor | Führer
duellante | Duellant
duellar | duellieren
duelle | Duell
duesim | zweiter
duett | Duett
dulci | süß
dulcitá | Süße
du mill tricent quin | zweitausenddreihundert fünf, 2305
dunc | also, daher, folglich
dune | Düne
dupar | betrügen
dupation | Betrug
dupator | Betrüger
dupe | Narr, Betrogener, Betrogener
duperíe | Betrügerei
duplic | zweifach, doppelt
duplicar | verdoppeln, vervielfältigen
duplication | Verdoppelung
duplicate | Kopie, Duplikat
duplicitá | Zweifachheit, Doppelzüngigkeit
dur | hart
dura | Dauer
durabil | dauerhaft, haltbar
durada | Dauer
durant (que) | während
durantie | Dauer
durar | dauern
duration | Dauer
duritá | Härte
e | und
ear | gehen
ear prender | abholen
eben | Ebenholz
ebenist | Kunsttischler
ebri | betrunken
ebrietá | Trunkenheit
eclarar | erklären, beleuchten, aufhellen, erhellen
eclaration | Beleuchten, Aufhellung
eclate | Eklat, Skandal, Knall, Splitter
eclesia | Kirche (Gebäude)
eclesial | kirchlich
eclesie | Konfession, Kirchengemeinschaft, Geistlichkeit
eclipse | Finsternis
eclipse lunari | Mondfinsternis
eclipse solari | Sonnenfinsternis
ecó | Echo
economic | wirtschaftlich
economie | Wirtschaft
economisar | sparen, sparsam haushalten
ecran | Bildschirm, Leinwand, Schirm, Gitter
edicte | Erlass, Verordnung, Edikt
edificar | erbauen, aufbauen, belehren
edificator | Baumeister
edificie | Gebäude
editer | herausgeben, verlegen
edition | Ausgabe, Edition
editor | Herausgeber, Verleger
editoria | Verlag
educar | erziehen
educativ | erzieherisch
education | Erziehung
educator | Erzieher
efaciar | löschen
efaruchar | erschrecken, verscheuchen
efecte | Wirkung
efecter | wirken, bewirken
efectiv | wirksam, effektiv
efectivar | durchsetzen, umsetzen
efectuar | ausführen, bewerkstelligen
efectuation | Ausführung, Umsetzung
efemeri | eintägig, vergänglich
efervescer | aufbrausen, aufwallen, schäumen, sprudeln
efervescent | aufbrausend, aufwallend
efervescentie | Aufbrausen, Aufwallen, Sprudeln
eficaci | wirksam
eficacitá | Wirksamkeit
efilat | dünn, scharf, spitz
efigie | Bildnis
efluer | ausfließen
efoliar | entblättern
efortiar se | sich bemühen, sich anstrengen
efortie | Bemühung, Anstrengung
efrenat | ausgelassen, zügellos
efuser | ausgießen, vergießen, ausströmen
efusion de sangue | Blutvergießen
egal | gleich, gleichgültig
egalisar | ausgleichen
egalitá | Gleichheit, Unentschieden (Sport)
egalitari | egalitär, gleichmacherisch
egard | Rücksicht
egardar | betrachten, berücksichtigen, ansehen als
Egiptia | Ägypten
egiptian | ägyptisch
eglefin | Schellfisch
ejacular | ejakulieren, ausspritzen, ausstoßen
ejaculation | Ejakulation
ejecter | auswerfen
elaborar | ausarbeiten
elan | Elan, Anlauf, Satz, Sprung
elargar | verbreitern
elastic | elastisch
elasticage | Gummiband
elasticitá | Elastizität, Dehnbarkeit
electer | wählen
electibil | wählerisch
election | Wahl
elector | Wähler
electric | elektrisch
electricitá | Elektrizität
electrocuter | durch Starkstrom töten, hinrichten durch Strom
electronic posta | E-Mail
elefant | Elefant
elegant | elegant
element | Element
elementari | elementar, grundsätzlich
elev | Schüler
eleva | Schülerin
elevar | erhöhen, erheben, steigen
elevo | Schüler
elevator | Aufzug
elf | Elfe
eliminar | ausschalten, eliminieren
elimination | Ausschaltung, Eliminierung
ella | sie (3. Pers. Sgl. f.)
ellas | sie (3. Pers. Pl. f.)
elocution | Ausdrucksweise, Vortrag
elogiar | lobpreisen
elogie | Lob. Preis
elogiosi | lobpreisend
eloquent | beredt, eloquent
eloquentie | Eloquenz, Beredsamkeit
elucidar | aufhellen, aufklären, erläutern
elucubrar | mühsam ausarbeiten
emanar | ausfließen, ausströmen, herrühren
emanation | Ausfluss, Ausströmen
embarassament | Verlegenheit
embarassar | beschämen, verlegen machen
embarassat | beschämt, verlegen
emblema | Emblem, Sinnbild
embrasura | Schießscharte, Fensternische
embrion | Embryo
embrionic | embryonisch
emendar | verbessern (durch Abändern)
emerit | ausgedient , im Ruhestand, aus gelernt
emerition | Emeritierung, in den Ruhestand gehen
emerser | auftauchen (aus Wasser), hervorragen
emersion | Auftauchen (aus Wasser)
emfasar | hervorheben, betonen
emfase | Nachdruck, Betonung
emigrant | Auswanderer, Emigrant
emigrar | auswandern, emigrieren
emigration | Auswanderung, Emigration
eminent | hervorragend, bedeutend
eminer | hervorragen
e-missage | E-Mail
emisser | absenden
emission | Absendung, Sendung
emissario | Sender, Abgesandter
emoer | rühren, bewegen
emotion | Emotion, Gefühl
emotiv | emotionell, gefühlsbetont
employament | Anstellung
employar | anstellen, beschäftigen
employat | angestellt
employato | Angestellter
employator | Arbeitgeber
employero | Arbeitgeber
emular | wetteifern
encaustic | Wachsfarbe, Bohnerwachs
enclitic | enklitisch (Anhängsel)
enervar | entnerven, schwächen, reizen
enervat | übermüdet, gereizt
enigma | Rätsel
enigmatic | rätselhaft
enoya | Langeweile
enoyant | langweilig
enoyar | langweilen
enitá | Wesenheit
ente | Wesen
entender | übereinkommen, sich verständigen
enthusiast | Fan, Enthusiast
enuclear | entkernen
enumerar | aufzählen
enumeration | Aufzählung
enunciar | aussprechen, ausdrücken
epi- | auf (griechische Vorsilbe)
epíscop | Bischof
epicopal | bischöflich
episcopatu | Bistum
epistul | Brief (poetisch und in gehobener Sprache)
epitete | Beiwort, Benennung
epoca | Epoche, Zeitspanne
epocal | epochal
epol | Schulter
epolette | Schulterstück
epopé | Epos
equator | Äquator
equation | Gleichung
equi- | gleich (Vorsilbe in wissenschaftlichen Wörtern)
equilibrar | ausgleichen
equilibre | Gleichgewicht
equioctie | Tagundnachtgleiche
equip | Rotte, Mannschaft
equipage | Ausrüstung
equipar | ausrüsten
equilibrie-trave | Schwebebalken
equitá | Billigkeit
equivalar | den gleichen Wert haben
equivalent | gleichwertig
equivalenie | Gleichwertigkeit
equivoc | doppelsinnig, zweideutig, verdächtig
equivocar | sich vor etwas drücken, Ausflüchte suchen
era | Ära
eradicar | entwurzeln
eradication | Entwurzelung, Ziehen der Wurzel
eraffar | wegreißen, entreißen
eraser | löschen, ausradieren
erasura | Löschung, Radierung
erecter | aufrichten, errichten, errigieren
erection | Erektion
ergo | folglich, also, daher
erica | Heidekraut, Erika
erinacio | Igel
eroder | zerfressen, anfressen
erosion | Erosion
erra | Irrtum, Versehen
errar | sich irren, Fehler machen
errore | Fehler, Irrtum
eruca | Raupe
erudir | Bildung beibringen, herausfinden
erdudito | Gebildeter, Weiser
erupter | ausbrechen
eruption | Ausbruch
escadre | Geschwader
escadron | Schwadron
escamotage | Kunstgriff, Trick
escamotar | verschwinden lassen, beiseite schaffen
escapar | entkommen, entwischen, entschlüpfen
escartar | wegschaffen, beiseite schieben
escorte | Eskorte, Geleit
escote | Zeche
escrimar | fechten
escrimator | Fechter
escrime | Fechten, Fechtkunst
escrimero | Fechter
escutar | zuhören, hören
escutero | Zuhörer
escutator | Zuhörer
esmalte | Email
esofog | Speiseröhre
espade | Schwert
espelar | buchstabieren
espera | Hoffnung
esperantie | Hoffnung
esperar | hoffen
esprite | Geist, Witz, Scharfsinn
espritosi | geistreich
espritositá | Geistesreichtum
esque | ob, etwa (Fragepronomen)
esquissar | skizzieren
esquisse | Skizze
essential | essentiell, wichtig
essentie | Gehalt, Essenz
esser absent | fehlen
esser de / ex | sein aus
esser líber | dürfen
esser rect | Recht haben
esser | sein (Verb)
essuyar | abwischen
essuyette | Wischtuch, Staubtuch
estalage | Auslage
estalar | auslegen, ausbreiten, ausstellen
estete | Ästhet
estetic | ästhetisch
estetisme | Ästhetik
estimar | wertschätzen, schätzen, verehren
estimat | geschätzt, verehrt
estimation | Verehrung, Wertschätzung
estival | sommerlich
estive | Sommer
Estonia | Estland
estrade | Estrade, erhöhter Platz
estuarie | Mündung
estuche | Futteral, Etui
etá | Alter
in plen etá | volljährig
etablisser | einrichten, aufstellen, errichten, gründen
etablisser se | sich niederlassen
etage | Stockwerk
etalon | Eichmaß
etere | Äther
etern(i) | ewig
eternisar | verewigen
eternitá | Ewigkeit
etic | ethisch, sittlich
etica | Ethik
etimologic | etymologisch
etimologie | Etymologie
etimologo | Etymologe
Etiopia | Äthiopien
etiopian | äthiopisch
etosi | alt, betagt
etsi | wenngleich, obgleich
euro | Euro
Europa | Europa
Europan Union | Europäische Union
europan | europäisch
evacuar | räumen, evakuieren
evacuation | Evakuierung, Räumung
evader | entfliehen
evaluar | abschätzen
evaluation | Schätzung, Evaluation
evanescement | Ohnmacht
evanescent | bewusstlos, in Ohnmacht
evanescer | ohnmächtig werden
evaporar | verdunsten
evaporation | Verdunstung
evasion | Spitzfindigkeit, Haarspalterei
eveniment | Geschehnis, Ereignis
evenir | geschehen, stattfinden
eversar | ausschütten
eversuore | Ausguss
evicter | verdrängen, ausstechen
evident | offensichtlich
evidentie | Beweis, Augenscheinlichkeit
evitabil | vermeidbar
evitar | vermeiden
evocar | heraufbeschwören, wachrufen
evocation | Anrufung
evoluer | entwickeln
evolution | Evolution, Entwicklung
evolutionar | entwickeln
ex | aus, heraus
exacerbar | verschärfen, reizen, erbittern
exacerbation | Erbitterung, Verschärfung
exact | genau, exakt
exagerar | übertreiben
exageration | Übertreibung
exaltar | erheben, preisen, aufregen
exaltation | Aufregung, Erhebung
examination | Untersuchung
exámine | Examen. Prüfung
exasperar | reizen, erbittern
exasperation | Erbitterung, Reizen
exaudir | erhören
excavar | aushöhlen, ausgraben
excavage | Aushöhlung
excavation | Aushöhlung
exceder | überschreiten, übersteigen
excedent | außerordentlich, übersteigert
exceller | hervorragen
excellent | ausgezeichnet, vorzüglich
excellentie | Exzellenz
except | außer
excepter | ausnehmen
exception | Ausnahme
exceptional | außergewöhnlich
excerpte | Ausschnitt
excerpter | zusammenfassen, exzerpieren
excess | Exzess, Ausschreitung
excessiv | exzessiv
exchange | Austausch
exchangear | wechseln, austauschen
excitar | sich aufregen
excitation | Aufregung
exclamar | ausrufen
exclamation | Ausruf
excluder | ausschließen
exclusion | Ausschluss
exclusiv | exklussiv, ausschließend
exclusivitá | Exklusivität
excommunier | exkommunizieren
excommion | Exkommunikation
excorticar | entrinden, abdecken
excorcitator | Abdecker
excreer | ausscheiden
excrement | Kot, Ausscheidung
excrescer | herausbilden, einen Auswuchs bilden
excretion | Ausscheidung
exculpar | von Schuld lossprechen, entschuldigen
exculpation | Vergebung, Entschuldigung (von Schuld)
excurrer | einen Ausflug machen
excursion | Ausflug
excusada | Entschuldigung
excusar | entschuldigen
ples excusar me | bitte entschuldigen Sie mich
exeada | Ausfahrt, Ausgang
exear | herausgehen, weggehen
execrar | verwünschen
execration | Verwünschung
executer | ausführen
executero | Ausführender, Henker
execution | Hinrichtung, Ausführung, Vollstreckung, Exekution
executiv | exekutiv, ausführend
exemplari | beispielhaft
exemple | Beispiel
por exemple | zum Beispiel
exempter | befreien (von etwas)
exercida | Üben
exercir | üben, ausüben, trainieren
exercitie | Übung
exercition | Training, Übung
exfluer | ausfließen, herausfließen
exfortiar se | sich anstrengen
exguttuore | Abtropfbrett
exhalar | aushauchen
exhalation | Ausatmung, Hauch
exhauster | erschöpfen
exhaustet | ausverkauft, erschöpft
exhaustiv | erschöpfend
exhibir | zur Schau stellen
exhibition | Ausstellung, Zurschaustellung
exhortar | ermahnen, ermuntern
exhortation | Ermahnung
exhumar | ausgraben, exhumieren
exhumation | Exhumierung, Ausgrabung
exigent | dringend, streng
exigentie | Erfordernis, Dringlichkeit
exiger | fordern, erfordern
exiliar | verbannen
exilie | Exil, Verbannung
existent | existent, bestehend
existentie | Existenz
exister | existieren, bestehen
exmatricular | exmatrikulieren
exonerar | entlasten (jur.), befreien
exoneration | Entlastung (jur.), Befreiung
exorbitant | übermäßig
exorcisar | böse Geister austreiben
exorcisation | Exorzismus
exot | Exot
exotic | exotisch
exotisme | Exotik
expander | ausbreiten, erweitern
expansion | Expansion, Erweiterung, Ausbreitung
expansiv | expansiv, erweiternd
expatriar | aus dem Vaterland vertreiben
expatriation | Vertreibung, Ausweisung (aus der Heimat)
expectar | erwarten
expectation | Erwartung
expectativ | erwartend
expectorar | aushusten
expediente | Ausweg
expedir | versenden, senden, liefern
expedition | Expedition
expeditor | Spediteur, Fuhrunternehmer
expense | Ausgabe, Auslage
expenser | ausgeben
expensiv | teuer
experientie | Erfahrung
experiment | Experiment
experimentar | experimentieren
experir | erfahren, Erfahrung machen
experit | erfahren
expiar | sühnen
expiation | Sühne
expirar | 1 .auslaufen, ablaufen; 2. ausatmen, aushauchen (den Geist)
expiration | 1. Ablauf, Verstreichen; 2. Ausatmung
explicar | erklären
explication | Erklärung
explicit | ausdrücklich, explizit
exploder | explodieren
explorar | erforschen
exploration | Erforschung, Forschung
explosion | Explosion
explorator | Forscher
explosiv | explosiv
explotar | ausbeuten
explotation | Ausbeutung
explotero | Ausbeuter
exponer | exponieren
exportar | exportieren
exposir | ausstellen, darlegen, (Leben) aufs Spiel setzen
exposir al sole | sonnen
exposition | Ausstellung
exposition universal | Weltausstellung
expositor | Aussteller
expresser | ausdrücken
expression | Ausdruck
expresionisme | Expressionismus
expressionist | Expressionist
expressiv | expressiv, ausdrucksstark
expressivitá | Ausdrucksstärke
exprompte | aus dem Stehgreif
expropriar | enteignen
expulser | ausweisen, ausstoßen
expulsion | Ausweisung, Vertreibung
expurgar | reinigen
expurgation | Reinigung
exquisit | auserlesen, köstlich, fein, exquisit
exsanguer | verbluten
exsanguation | Verbluten
extémpore | unvorbereitet, improvisiert
extender | ausbreiten, ausdehnen
extension | Ausdehnung, Erweiterung
extensiv | extensiv
extenuar | erschöpfen, entkräften
éxter | heraus, draußen, außen
exteriori | äußerlich, auswendig
exterioritá | Äußeres
exterland | Ausland
exterminar | ausrotten
extermination | Ausrottung
extern | äußerer, extern, außen-
exterrar | ausgraben
exterration | Ausgrabung
extinter | ausgehen, verlöschen
extintet | erloschen, verloschen
extirar | ausziehen, herausziehen
extirpar | ausrotten, ausschneiden
extorder | erpressen,auswringen
extorsion | Erpressung
extra | außerhalb, außer
extradir | ausliefern
extradition | Auslieferung
extran | ausländisch
extrania | Ausland
extrano | Ausländer
extrapay | Zulage
extraordinari | außergewöhnlich
extravagant | überspannt, toll, ungereimt
extravagantie | Extravaganz
extrem | extrem
extremitá | Extremität
extremist | Extremist
extremisme | Extremismus
extricar se | sich vor etwas drücken, sich herauswinden
exuperant | strotzend, üppig
exultar | frohlocken
exultation | Frohlocken
exuperar | strotzen
fa-necos | Nichtstuer
fa-nullone | Nichtstuer
fab(e) | Saubohne
fabrica | Fabrik
fabricar | herstellen, fabrizieren
fabul | Märchen
fabular | Märchen erzählen, fabulieren
fabulist | Märchenerzähler
facette | Facette, Schleifseite
faciata | Maulschelle
facie | Gesicht, Seite
facil | leicht, einfach
facilisar | erleichtern, leicht machen
facilitá | Leichtigkeit
facsimile | Faksimile, Kopie
factic | faktisch, tatsächlich
facte | Tatsache, Vorfall
factor | Faktor
factoria | Faktorei
factura | Rechnung
facultá | Fakultät
facultate | Fähigkeit, Befugnis, Vermögen
facultativ | fakultativ
fad | fade, reizlos, schal
fago | Buche
falange | Phalanx
falce | Sense
falcear | mit der Sense mähen
falcon | Falke
falconero | Falkner
falliment | Fehlschlag, Durchfallen
fallir | durchfallen, verfehlen, durchfallen
fals | falsch
falsette | Kopfstimme
falsificar | fälschen
falsification | Fälschung
falte | Foul
fama | Ruf
fame | Hunger
famine | Hungersnot
familiari | familiär
familie | Familie
famosi | berühmt
famositá | Berühmtheit
fanale | Fanal, Leuchtfeuer
fanatic | fanatisch
fanatico | Fan, Fanatiker
fanatisme | Fanatismus
fanfaron | Aufschneider, Angeber, Prahlhans
fanfaronada | Wichtigtuerei
fanfaronar | prahlen, angeben, aufschneiden
fango | Schmutz, Straßenschmutz
fangosi | schmutzig
fantasie | Phantasie
fantastic | phantastisch
fantassin | Infanterist
far | machen, tun, veranlassen
far file | anstehen
far li compras | einkaufen
far musica | musizieren
far venir | abholen
far rider | zum Lachen bringen
faraon | Pharao
farce | Füllsel (in Speisen)
fare | Leuchtturm
farine | Mehl
faringe | Rachen
fariseic | pharisäisch
fariséo | Pharisäer
farmaceutic | pharmazeutisch
farmacia | Apotheke
farmacist | Apotheker
farme | Bauernhof
farmero | Bauer
farse | Posse, Farce, Schabernack, Streich
farsero | Possenreißer
faruchi | wild, ungezähmt, scheu
fasan | Fasan
fasce | Bündel
fascinant | faszinierend
fascinar | faszinieren, bezaubern
fascination | Faszination
fascisme | Faschismus
fascist | Faschist
fase | Phase
faseol | (weiße) Bohne
fassade | Fassade
fasson | Form, Gestalt, Schnitt, Muster
fassonar | schneiden, gestalten (Kleidung, Haare), stylen
fatal | fatal
fatalisme | Fatalismus
fate | Schicksal
fatiga | Müdigkeit
fatigar | ermüden
fatigat | müde
fatui | oberflächlich, geckenhaft, blöd
faucar | fauchen
fauce | Rachen
fauna | Fauna
favorar | begünstigen
favore | Gunst, Gefälligkeit
favorisar | favorisieren
favorito | Favorit, Günstling
fax | Fax
fayance | Steingut
fea | Fee
febre | Fieber
febrosi | fiebrig
februar | Februar
fec | Kot, Mist, Scheiße, Exkrement
fecund | fruchtbar (Lebewesen)
federar | verbünden
federativ | föderativ
federation | Föderation
fédere | Bund, Bündnis
felga | Felge
felici | glücklich
felicie | Glück
felicitá | Glück
felicitar | beglückwünschen
felicitation | Glückwunsch
feltre | Filz
feltrin | aus Filz
fémina | Frau, Weib
feminin | weiblich
feminisme | Feminismus
feminitá | Weiblichkeit
femité | die Frauen, das weibliche Geschlecht
femur | Oberschenkelknochen
fen | Heu
fender | spalten
fenicul | Fenchel
fenomen | Phänomen
fenomenal | phänomenal
fension | Spaltung
fensura | Spalt, Spalte
fenestre | Fenster
ferie | Messe, Jahrmarkt
fermentar | gären
fermentation | Gärung
feroci | wild
ferocitá | Wildheit
ferre | Eisen
ferre forjat | Schmiedeeisen
ferrin | eisern
ferro-fil | Draht
ferroglattar | bügeln
ferroglattuore | Bügeleisen
ferrovia | Eisenbahn
ferroviari | Eisenbahn-
fertil | fruchtbar
fertilisar | fruchtbar machen, düngen
fertilitá | Fruchtbarkeit
ferul | Zuchtrute
ferver | glühen, eifern
fervore | Glut, Eifer
fervorosi | glühend, eifernd
festa | Fest
festa-die | Feiertag
festa-foy | Freudenfeuer
festal | festlich
festar | feiern
festina | Festgelage, Bankett
festinar | ein Bankett abhalten
festiv | festlich
festivitá | Feierlichkeit
feston | Zacken, Girlande, Blumengehänge
feter | stinken
fetiche | Fetisch
fetid | stinkend
fetiditá | Gestank
feto | Fötus, Leibesfrucht
feudal | feudal
feudalisme | Feudalismus
fi! | pfui!
fiacre | Fiaker
fibre | Faser, Fiber
fibul | Fibel, Kleiderspange, Schnalle
fiche | Zettel, Karteikarte
fichiere | Karteikasten
ficter | fingieren
fiction | Fiktion
fictiv | fiktiv, erdacht
fide | Vertrauen, Glaube, Zutrauen
fidel | treu
fidelitá | Treue
fider | vertrauen
fier | stolz
fieritá | Stolz
figue | Feige
figueiro | Feigenbaum
figura | Figur
fil | Faden, Zwirn, Draht, Garn
filatelie | Philatelie, Briefmarkenkunde
file | Schlange, Reihe
filé | Filet, Lendenstück, Rückenstück
filia | Tochter
filiale | Filiale, Zweigstelle
filice | Farn
filio | Sohn
Filipines | Philippinen
filipines | philippinisch
filistino | Philister
filtrar | filtern
filtre | Filter
film | Film
filologic | philologisch
filologie | Philologie
filologo | Philologe
filosof | Philosoph
filosofic | philosophisch
filosofie | Philosophie
filú | Gauner, Spitzbube
fin | fein, zart
fine | Ende, Ziel
fine de semane | Wochenende
